id,psgc,type,name
1340607004,,4,Maab-Abaca
1340607005,,4,Mangitayag
1340607006,,4,Maruaya
1340607007,,4,San Antonio
1340607008,,4,Santa Maria
1340607009,,4,Sucsuquen
1340607010,,4,Tangaoan
1340607011,,4,Tonoton
1340607012,,4,Ab-Abut
1340607013,,4,Abucay
1340607014,,4,Anao
1340607015,,4,Arua-Ay
1340607016,,4,Bimmanga
1340607017,,4,Boyboy
1340607018,,4,Cabaroan
1340607019,,4,Calambeg
1340607020,,4,Callusa
1340607021,,4,Dupitac
1340607022,,4,Estancia
1340607023,,4,Gayamat
1340608000,,3,Pinili
1340608001,,4,Aglipay
1340608002,,4,Apatut-Lubong
1340608003,,4,Badio
1340608004,,4,Barbar
1340608005,,4,Buanga
1340608006,,4,Bulbulala
1340608007,,4,Bungro
1340608008,,4,Cabaroan
1340608009,,4,Capangdanan
1340608010,,4,Dalayap
1340608011,,4,Darat
1340608012,,4,Gulpeng
1340608013,,4,Liliputen
1340608014,,4,Lumbaan-Bicbica
1340608015,,4,Nagtrigoan
1340608016,,4,Pagdilao
1340608017,,4,Pugaoan
1340608018,,4,Puritac
1340608019,,4,Puzol
1340608020,,4,Sacritan
1340608021,,4,Salanap
1340608022,,4,Santo Tomas
1340608023,,4,Tartarabang
1340608024,,4,Upon
1340608025,,4,Valbuena
1340609000,,3,San Nicolas
1340609001,,4,San Agustin
1340609002,,4,San Baltazar
1340609003,,4,San Bartolome
1340609004,,4,San Cayetano
1340609005,,4,San Eugenio
1340609006,,4,San Fernando
1340609007,,4,San Francisco
1340609008,,4,San Gregorio
1340609009,,4,San Guillermo
1340609010,,4,San Ildefonso
1340609011,,4,San Jose
1340609012,,4,San Juan Bautista
1340609013,,4,San Lorenzo
1340609014,,4,San Lucas
1340609015,,4,San Marcos
1340609016,,4,San Miguel
1340609017,,4,San Pablo
1340609018,,4,San Paulo
1340609019,,4,San Pedro
1340609020,,4,San Rufino
1340609021,,4,San Silvestre
1340609022,,4,Santa Asuncion
1340609023,,4,Santa Cecilia
1340609024,,4,Santa Monica
1340610000,,3,Sarrat
1340610001,,4,San Agustin
1340610002,,4,San Andres
1340610003,,4,San Antonio
1340610004,,4,San Bernabe
1340610005,,4,San Cristobal
1340610006,,4,San Felipe
1340610007,,4,San Francisco
1340610008,,4,San Isidro
1340610009,,4,San Joaquin
1340610010,,4,San Jose
1340610011,,4,San Juan
1340610012,,4,San Leandro
1340610013,,4,San Lorenzo
1340610014,,4,San Manuel
1340610015,,4,San Marcos
1340610016,,4,San Nicolas
1340610017,,4,San Pedro
1340610018,,4,San Roque
1340610019,,4,San Vicente
1340610020,,4,Santa Barbara
1340610021,,4,Santa Magdalena
1340610022,,4,Santa Rosa
1340610023,,4,Santo Santiago
1340610024,,4,Santo Tomas
1340611000,,3,Solsona
1340611001,,4,Aguitap
1340611002,,4,Bagbag
1340611003,,4,Bagbago
1340611004,,4,Barcelona
1340611005,,4,Bubuos
1340611006,,4,Capurictan
1340611007,,4,Catangraran
1340611008,,4,Darasdas
1340611009,,4,Juan
1340611010,,4,Laureta
1340611011,,4,Lipay
1340611012,,4,Maananteng
1340611013,,4,Manalpac
1340611014,,4,Mariquet
1340611015,,4,Nagpatpatan
1340611016,,4,Nalasin
1340611017,,4,Puttao
1340611018,,4,San Juan
1340611019,,4,San Julian
1340611020,,4,Santa Ana
1340611021,,4,Santiago
1340611022,,4,Talugtog
1340612000,,3,Vintar
1340612001,,4,Abkir
1340612002,,4,Alejo Malasig
1340612003,,4,Alsem
1340612004,,4,Bago
1340612005,,4,Bulbulala
1340612006,,4,Cabangaran
1340612007,,4,Cabayo
1340612008,,4,Cabisocolan
1340612009,,4,Canaam
1340612010,,4,Columbia
1340612011,,4,Dagupan
1340612012,,4,Dipilat
1340612013,,4,Esperanza
1340612014,,4,Ester
1340612015,,4,Isic Isic
1340612016,,4,Lubnac
1340612017,,4,Mabanbanag
1340612018,,4,Malampa
1340612019,,4,Manarang
1340612020,,4,Margaay
1340612021,,4,Namoroc
1340612022,,4,Parparoroc
1340612023,,4,Parut
1340612024,,4,Pedro F. Alviar
1340612025,,4,Salsalamagui
1340612026,,4,San Jose
1340612027,,4,San Nicolas
1340612028,,4,San Pedro
1340612029,,4,San Ramon
1340612030,,4,San Roque
1340612031,,4,Santa Maria
1340612032,,4,Tamdagan
1340612033,,4,Visaya
1350000000,,2,Ilocos Sur
1350613000,,3,Alilem
1350613001,,4,Alilem Daya
1350613002,,4,Amilongan
1350613003,,4,Anaao
1350613004,,4,Apang
1350613005,,4,Apaya
1350613006,,4,Batbato
1350613007,,4,Daddaay
1350613008,,4,Dalawa
1350613009,,4,Kiat
1350614000,,3,Banayoyo
1350614001,,4,Bagbagotot
1350614002,,4,Banbanaal
1350614003,,4,Bisangol
1350614004,,4,Cadanglaan
